#Name, freq, doodsonamp, doodsonspecies, potentialamp
2SN2 0.0001530085 NaN NaN 0.000000
 NO3 0.0002054774 NaN NaN 0.000000
 MO3 0.0002081166 NaN NaN 0.000000
  M3 0.0002107784 -0.011880 3.000000 0.000000
 NK3 0.0002108009 NaN NaN 0.000000
 SO3 0.0002130418 NaN NaN 0.000000
 MK3 0.0002134401 NaN NaN 0.000000
 SP3 0.0002179671 NaN NaN 0.000000
 SK3 0.0002183653 NaN NaN 0.000000
 ST8 0.0002734734 NaN NaN 0.000000
  N4 0.0002757594 NaN NaN 0.000000
3MS4 0.0002761126 NaN NaN 0.000000
ST39 0.0002780004 NaN NaN 0.000000
 MN4 0.0002783986 NaN NaN 0.000000
 ST9 0.0002787968 NaN NaN 0.000000
ST40 0.0002806396 NaN NaN 0.000000
  M4 0.0002810378 NaN NaN 0.000000
ST10 0.0002814360 NaN NaN 0.000000
 SN4 0.0002833238 NaN NaN 0.000000
 KN4 0.0002837220 NaN NaN 0.000000
 MS4 0.0002859630 NaN NaN 0.000000
 MK4 0.0002863612 NaN NaN 0.000000
 SL4 0.0002886022 NaN NaN 0.000000
  S4 0.0002908882 NaN NaN 0.000000
 SK4 0.0002912864 NaN NaN 0.000000
MNO5 0.0003459963 NaN NaN 0.000000
2MO5 0.0003486355 NaN NaN 0.000000
3MP5 0.0003490338 NaN NaN 0.000000
MNK5 0.0003513198 NaN NaN 0.000000
2MP5 0.0003535608 NaN NaN 0.000000
2MK5 0.0003539590 NaN NaN 0.000000
MSK5 0.0003588842 NaN NaN 0.000000
3KM5 0.0003592824 NaN NaN 0.000000
2SK5 0.0003638094 NaN NaN 0.000000
ST11 0.0004140373 NaN NaN 0.000000
2NM6 0.0004162783 NaN NaN 0.000000
ST12 0.0004166765 NaN NaN 0.000000
2MN6 0.0004189175 NaN NaN 0.000000
ST13 0.0004193157 NaN NaN 0.000000
ST41 0.0004211585 NaN NaN 0.000000
  M6 0.0004215567 NaN NaN 0.000000
MSN6 0.0004238427 NaN NaN 0.000000
MKN6 0.0004242409 NaN NaN 0.000000
ST42 0.0004260837 NaN NaN 0.000000
2MS6 0.0004264819 NaN NaN 0.000000
2MK6 0.0004268801 NaN NaN 0.000000
NSK6 0.0004291661 NaN NaN 0.000000
2SM6 0.0004314071 NaN NaN 0.000000
MSK6 0.0004318053 NaN NaN 0.000000
  S6 0.0004363323 NaN NaN 0.000000
ST14 0.0004865152 NaN NaN 0.000000
ST15 0.0004891995 NaN NaN 0.000000
  M7 0.0004918162 NaN NaN 0.000000
ST16 0.0004940797 NaN NaN 0.000000
3MK7 0.0004944779 NaN NaN 0.000000
ST17 0.0004994031 NaN NaN 0.000000
ST18 0.0005567972 NaN NaN 0.000000
3MN8 0.0005594364 NaN NaN 0.000000
ST19 0.0005598346 NaN NaN 0.000000
  M8 0.0005620756 NaN NaN 0.000000
ST20 0.0005643616 NaN NaN 0.000000
ST21 0.0005647598 NaN NaN 0.000000
3MS8 0.0005670008 NaN NaN 0.000000
3MK8 0.0005673990 NaN NaN 0.000000
ST22 0.0005696850 NaN NaN 0.000000
ST23 0.0005719260 NaN NaN 0.000000
ST24 0.0005723242 NaN NaN 0.000000
ST25 0.0006297184 NaN NaN 0.000000
ST26 0.0006323576 NaN NaN 0.000000
4MK9 0.0006349968 NaN NaN 0.000000
ST27 0.0006399220 NaN NaN 0.000000
ST28 0.0006999553 NaN NaN 0.000000
 M10 0.0007025945 NaN NaN 0.000000
ST29 0.0007048805 NaN NaN 0.000000
ST30 0.0007075197 NaN NaN 0.000000
ST31 0.0007102039 NaN NaN 0.000000
ST32 0.0007124449 NaN NaN 0.000000
ST33 0.0007804409 NaN NaN 0.000000
 M12 0.0008431134 NaN NaN 0.000000
ST34 0.0008480386 NaN NaN 0.000000
ST35 0.0008507228 NaN NaN 0.000000
